Name,Continent,URL,covid_cases,vaccines
Algeria,Africa,https://en.wikipedia.org/wiki/Algeria,207385.0,11271319.0
Angola,Africa,https://en.wikipedia.org/wiki/Angola,64762.0,7246966.0
Benin,Africa,https://en.wikipedia.org/wiki/Benin,24804.0,347270.0
Botswana,Africa,https://en.wikipedia.org/wiki/Botswana,193449.0,1028674.0
Burkina Faso,Africa,https://en.wikipedia.org/wiki/Burkina_Faso,15103.0,380344.0
Burundi,Africa,https://en.wikipedia.org/wiki/Burundi,20170.0,914.0
Cameroon,Africa,https://en.wikipedia.org/wiki/Cameroon,104348.0,507363.0
Cape Verde,Africa,https://en.wikipedia.org/wiki/Cape_Verde,38264.0,511628.0
Central African Republic,Africa,https://en.wikipedia.org/wiki/Central_African_Republic,11579.0,422372.0
Chad,Africa,https://en.wikipedia.org/wiki/Chad,5107.0,229019.0
Comoros,Africa,https://en.wikipedia.org/wiki/Comoros,4332.0,452612.0
Democratic Republic of the Congo,Africa,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo,54009.0,151795.0
Republic of the Congo,Africa,https://en.wikipedia.org/wiki/Republic_of_the_Congo,13533.0,509251.0
Djibouti,Africa,https://en.wikipedia.org/wiki/Djibouti,13493.0,92097.0
Egypt,Africa,https://en.wikipedia.org/wiki/Egypt,339335.0,30563571.0
Equatorial Guinea,Africa,https://en.wikipedia.org/wiki/Equatorial_Guinea,13459.0,436479.0
Eritrea,Africa,https://en.wikipedia.org/wiki/Eritrea,6979.0,
Eswatini,Africa,https://en.wikipedia.org/wiki/Eswatini,46462.0,279406.0
Ethiopia,Africa,https://en.wikipedia.org/wiki/Ethiopia,367647.0,5047106.0
Gabon,Africa,https://en.wikipedia.org/wiki/Gabon,36330.0,244055.0
The Gambia,Africa,https://en.wikipedia.org/wiki/The_Gambia,9979.0,267011.0
Ghana,Africa,https://en.wikipedia.org/wiki/Ghana,130608.0,3162666.0
Guinea,Africa,https://en.wikipedia.org/wiki/Guinea,30709.0,2276474.0
Guinea-Bissau,Africa,https://en.wikipedia.org/wiki/Guinea-Bissau,6150.0,276355.0
Ivory Coast,Africa,https://en.wikipedia.org/wiki/Ivory_Coast,,
Kenya,Africa,https://en.wikipedia.org/wiki/Kenya,253879.0,5691050.0
Lesotho,Africa,https://en.wikipedia.org/wiki/Lesotho,21685.0,383341.0
Liberia,Africa,https://en.wikipedia.org/wiki/Liberia,5817.0,438563.0
Libya,Africa,https://en.wikipedia.org/wiki/Libya,362318.0,2070595.0
Madagascar,Africa,https://en.wikipedia.org/wiki/Madagascar,43632.0,566265.0
Malawi,Africa,https://en.wikipedia.org/wiki/Malawi,61821.0,1262588.0
Mali,Africa,https://en.wikipedia.org/wiki/Mali,16468.0,596435.0
Mauritania,Africa,https://en.wikipedia.org/wiki/Mauritania,37755.0,1298995.0
Mauritius,Africa,https://en.wikipedia.org/wiki/Mauritius,18979.0,1760061.0
Morocco,Africa,https://en.wikipedia.org/wiki/Morocco,947610.0,48083925.0
Mozambique,Africa,https://en.wikipedia.org/wiki/Mozambique,151382.0,6585750.0
Namibia,Africa,https://en.wikipedia.org/wiki/Namibia,129023.0,600216.0
Niger,Africa,https://en.wikipedia.org/wiki/Niger,6569.0,896106.0
Nigeria,Africa,https://en.wikipedia.org/wiki/Nigeria,212829.0,8862242.0
Rwanda,Africa,https://en.wikipedia.org/wiki/Rwanda,100000.0,6000758.0
Sao Tome and Principe,Africa,https://en.wikipedia.org/wiki/Sao_Tome_and_Principe,,
Senegal,Africa,https://en.wikipedia.org/wiki/Senegal,73942.0,1961144.0
Seychelles,Africa,https://en.wikipedia.org/wiki/Seychelles,22457.0,170530.0
Sierra Leone,Africa,https://en.wikipedia.org/wiki/Sierra_Leone,6398.0,617851.0
Somalia,Africa,https://en.wikipedia.org/wiki/Somalia,22693.0,691649.0
South Africa,Africa,https://en.wikipedia.org/wiki/South_Africa,2924317.0,23264992.0
South Sudan,Africa,https://en.wikipedia.org/wiki/South_Sudan,12517.0,144576.0
Sudan,Africa,https://en.wikipedia.org/wiki/Sudan,41019.0,1659666.0
Tanzania,Africa,https://en.wikipedia.org/wiki/Tanzania,1367.0,885579.0
Togo,Africa,https://en.wikipedia.org/wiki/Togo,26125.0,1412904.0
Tunisia,Africa,https://en.wikipedia.org/wiki/Tunisia,713352.0,9610235.0
Uganda,Africa,https://en.wikipedia.org/wiki/Uganda,126644.0,3604659.0
Zambia,Africa,https://en.wikipedia.org/wiki/Zambia,209918.0,874531.0
Zimbabwe,Africa,https://en.wikipedia.org/wiki/Zimbabwe,133242.0,6034324.0
Antigua and Barbuda,North_America,https://en.wikipedia.org/wiki/Antigua_and_Barbuda,4091.0,108001.0
The Bahamas,North_America,https://en.wikipedia.org/wiki/The_Bahamas,22592.0,263795.0
Barbados,North_America,https://en.wikipedia.org/wiki/Barbados,20676.0,279295.0
Belize,North_America,https://en.wikipedia.org/wiki/Belize,28162.0,391846.0
Canada,North_America,https://en.wikipedia.org/wiki/Canada,1738543.0,59190148.0
Costa Rica,North_America,https://en.wikipedia.org/wiki/Costa_Rica,563290.0,6567309.0
Cuba,North_America,https://en.wikipedia.org/wiki/Cuba,956919.0,26389209.0
Dominica,North_America,https://en.wikipedia.org/wiki/Dominica,5070.0,53307.0
Dominican Republic,North_America,https://en.wikipedia.org/wiki/Dominican_Republic,390058.0,13421922.0
El Salvador,North_America,https://en.wikipedia.org/wiki/El_Salvador,116258.0,8755860.0
Grenada,North_America,https://en.wikipedia.org/wiki/Grenada,5863.0,70861.0
Guatemala,North_America,https://en.wikipedia.org/wiki/Guatemala,606743.0,8825957.0
Haiti,North_America,https://en.wikipedia.org/wiki/Haiti,24233.0,135748.0
Honduras,North_America,https://en.wikipedia.org/wiki/Honduras,376676.0,7300131.0
Jamaica,North_America,https://en.wikipedia.org/wiki/Jamaica,89788.0,1004716.0
Mexico,North_America,https://en.wikipedia.org/wiki/Mexico,3831259.0,128356362.0
Nicaragua,North_America,https://en.wikipedia.org/wiki/Nicaragua,16699.0,1674896.0
Panama,North_America,https://en.wikipedia.org/wiki/Panama,473522.0,5469391.0
Saint Kitts and Nevis,North_America,https://en.wikipedia.org/wiki/Saint_Kitts_and_Nevis,2717.0,50607.0
Saint Lucia,North_America,https://en.wikipedia.org/wiki/Saint_Lucia,12748.0,94486.0
Saint Vincent and the Grenadines,North_America,https://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines,5123.0,45147.0
Trinidad and Tobago,North_America,https://en.wikipedia.org/wiki/Trinidad_and_Tobago,59963.0,1243643.0
United States,North_America,https://en.wikipedia.org/wiki/United_States,46659443.0,432111860.0
Afghanistan,Asia,https://en.wikipedia.org/wiki/Afghanistan,156397.0,5852810.0
Armenia,Asia,https://en.wikipedia.org/wiki/Armenia,322364.0,709345.0
Azerbaijan,Asia,https://en.wikipedia.org/wiki/Azerbaijan,550446.0,9917741.0
Bahrain,Asia,https://en.wikipedia.org/wiki/Bahrain,277113.0,2804342.0
Bangladesh,Asia,https://en.wikipedia.org/wiki/Bangladesh,1571434.0,76877974.0
Bhutan,Asia,https://en.wikipedia.org/wiki/Bhutan,2623.0,1148146.0
Brunei,Asia,https://en.wikipedia.org/wiki/Brunei,13864.0,633464.0
Cambodia,Asia,https://en.wikipedia.org/wiki/Cambodia,119227.0,28091131.0
China,Asia,https://en.wikipedia.org/wiki/China,97900.0,2330726000.0
Cyprus,Asia,https://en.wikipedia.org/wiki/Cyprus,126231.0,1223157.0
Georgia (country),Asia,https://en.wikipedia.org/wiki/Georgia_(country),,
India,Asia,https://en.wikipedia.org/wiki/India,34377113.0,1088236037.0
Indonesia,Asia,https://en.wikipedia.org/wiki/Indonesia,4248843.0,204606962.0
Iran,Asia,https://en.wikipedia.org/wiki/Iran,6004460.0,92677737.0
Iraq,Asia,https://en.wikipedia.org/wiki/Iraq,2065127.0,9632835.0
Israel,Asia,https://en.wikipedia.org/wiki/Israel,1335184.0,15992941.0
Japan,Asia,https://en.wikipedia.org/wiki/Japan,1723976.0,192610138.0
Jordan,Asia,https://en.wikipedia.org/wiki/Jordan,880943.0,7589001.0
Kazakhstan,Asia,https://en.wikipedia.org/wiki/Kazakhstan,1032244.0,16084460.0
North Korea,Asia,https://en.wikipedia.org/wiki/North_Korea,,
South Korea,Asia,https://en.wikipedia.org/wiki/South_Korea,385831.0,80183484.0
Kuwait,Asia,https://en.wikipedia.org/wiki/Kuwait,412893.0,2668082.0
Kyrgyzstan,Asia,https://en.wikipedia.org/wiki/Kyrgyzstan,181936.0,1805684.0
Laos,Asia,https://en.wikipedia.org/wiki/Laos,48892.0,6028604.0
Lebanon,Asia,https://en.wikipedia.org/wiki/Lebanon,647778.0,3388502.0
Malaysia,Asia,https://en.wikipedia.org/wiki/Malaysia,2517173.0,50337394.0
Maldives,Asia,https://en.wikipedia.org/wiki/Maldives,89126.0,754195.0
Mongolia,Asia,https://en.wikipedia.org/wiki/Mongolia,368353.0,4397342.0
Myanmar,Asia,https://en.wikipedia.org/wiki/Myanmar,508591.0,20299011.0
Nepal,Asia,https://en.wikipedia.org/wiki/Nepal,815372.0,15918578.0
Oman,Asia,https://en.wikipedia.org/wiki/Oman,304389.0,5679984.0
Pakistan,Asia,https://en.wikipedia.org/wiki/Pakistan,1278114.0,113188078.0
Philippines,Asia,https://en.wikipedia.org/wiki/Philippines,2806694.0,52303905.0
Qatar,Asia,https://en.wikipedia.org/wiki/Qatar,240385.0,4859929.0
Russia,Asia,https://en.wikipedia.org/wiki/Russia,8727817.0,109012524.0
Saudi Arabia,Asia,https://en.wikipedia.org/wiki/Saudi_Arabia,549022.0,46288357.0
Singapore,Asia,https://en.wikipedia.org/wiki/Singapore,224200.0,10094499.0
Sri Lanka,Asia,https://en.wikipedia.org/wiki/Sri_Lanka,546653.0,29380388.0
Syria,Asia,https://en.wikipedia.org/wiki/Syria,45468.0,1125146.0
Tajikistan,Asia,https://en.wikipedia.org/wiki/Tajikistan,17486.0,4819257.0
Thailand,Asia,https://en.wikipedia.org/wiki/Thailand,1982495.0,80499612.0
East Timor,Asia,https://en.wikipedia.org/wiki/East_Timor,,
Turkey,Asia,https://en.wikipedia.org/wiki/Turkey,8290135.0,117562317.0
Turkmenistan,Asia,https://en.wikipedia.org/wiki/Turkmenistan,,
United Arab Emirates,Asia,https://en.wikipedia.org/wiki/United_Arab_Emirates,740572.0,21348200.0
Uzbekistan,Asia,https://en.wikipedia.org/wiki/Uzbekistan,188398.0,27845532.0
Vietnam,Asia,https://en.wikipedia.org/wiki/Vietnam,984805.0,89620701.0
Yemen,Asia,https://en.wikipedia.org/wiki/Yemen,9891.0,547019.0
Argentina,South_America,https://en.wikipedia.org/wiki/Argentina,5299418.0,61821032.0
Bolivia,South_America,https://en.wikipedia.org/wiki/Bolivia,518870.0,8890770.0
Brazil,South_America,https://en.wikipedia.org/wiki/Brazil,21897025.0,279097836.0
Chile,South_America,https://en.wikipedia.org/wiki/Chile,1713188.0,37678211.0
Colombia,South_America,https://en.wikipedia.org/wiki/Colombia,5019158.0,49123580.0
Ecuador,South_America,https://en.wikipedia.org/wiki/Ecuador,519560.0,22692858.0
Guyana,South_America,https://en.wikipedia.org/wiki/Guyana,36257.0,634491.0
Paraguay,South_America,https://en.wikipedia.org/wiki/Paraguay,461413.0,5316775.0
Peru,South_America,https://en.wikipedia.org/wiki/Peru,2207890.0,36146674.0
Suriname,South_America,https://en.wikipedia.org/wiki/Suriname,49812.0,458690.0
Uruguay,South_America,https://en.wikipedia.org/wiki/Uruguay,395610.0,6661158.0
Venezuela,South_America,https://en.wikipedia.org/wiki/Venezuela,414220.0,23156914.0
Albania,Europe,https://en.wikipedia.org/wiki/Albania,190125.0,1947148.0
Andorra,Europe,https://en.wikipedia.org/wiki/Andorra,15717.0,102692.0
Austria,Europe,https://en.wikipedia.org/wiki/Austria,899777.0,11766792.0
Belarus,Europe,https://en.wikipedia.org/wiki/Belarus,617719.0,4766181.0
Belgium,Europe,https://en.wikipedia.org/wiki/Belgium,1438830.0,16925325.0
Bosnia and Herzegovina,Europe,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina,260837.0,1479596.0
Bulgaria,Europe,https://en.wikipedia.org/wiki/Bulgaria,643003.0,2628498.0
Croatia,Europe,https://en.wikipedia.org/wiki/Croatia,507535.0,3690148.0
Czech Republic,Europe,https://en.wikipedia.org/wiki/Czech_Republic,,
Denmark,Europe,https://en.wikipedia.org/wiki/Denmark,407417.0,8912383.0
Estonia,Europe,https://en.wikipedia.org/wiki/Estonia,206972.0,1449142.0
Finland,Europe,https://en.wikipedia.org/wiki/Finland,165302.0,8177958.0
France,Europe,https://en.wikipedia.org/wiki/France,7051795.0,100064762.0
Germany,Europe,https://en.wikipedia.org/wiki/Germany,4857463.0,113164222.0
Greece,Europe,https://en.wikipedia.org/wiki/Greece,801208.0,12944760.0
Hungary,Europe,https://en.wikipedia.org/wiki/Hungary,914586.0,13132409.0
Iceland,Europe,https://en.wikipedia.org/wiki/Iceland,14757.0,574658.0
Republic of Ireland,Europe,https://en.wikipedia.org/wiki/Republic_of_Ireland,,
Italy,Europe,https://en.wikipedia.org/wiki/Italy,4818705.0,91096965.0
Latvia,Europe,https://en.wikipedia.org/wiki/Latvia,233698.0,2030734.0
Liechtenstein,Europe,https://en.wikipedia.org/wiki/Liechtenstein,3781.0,49963.0
Lithuania,Europe,https://en.wikipedia.org/wiki/Lithuania,430855.0,3442819.0
Luxembourg,Europe,https://en.wikipedia.org/wiki/Luxembourg,83479.0,893392.0
Malta,Europe,https://en.wikipedia.org/wiki/Malta,37966.0,888880.0
Moldova,Europe,https://en.wikipedia.org/wiki/Moldova,348588.0,1457475.0
Monaco,Europe,https://en.wikipedia.org/wiki/Monaco,3451.0,49980.0
Montenegro,Europe,https://en.wikipedia.org/wiki/Montenegro,149729.0,507082.0
Netherlands,Europe,https://en.wikipedia.org/wiki/Netherlands,2224096.0,24872036.0
North Macedonia,Europe,https://en.wikipedia.org/wiki/North_Macedonia,206910.0,1624729.0
Norway,Europe,https://en.wikipedia.org/wiki/Norway,220513.0,7969588.0
Poland,Europe,https://en.wikipedia.org/wiki/Poland,3125179.0,39469339.0
Portugal,Europe,https://en.wikipedia.org/wiki/Portugal,1099307.0,16246592.0
Romania,Europe,https://en.wikipedia.org/wiki/Romania,1718726.0,11850881.0
San Marino,Europe,https://en.wikipedia.org/wiki/San_Marino,5610.0,47302.0
Serbia,Europe,https://en.wikipedia.org/wiki/Serbia,1192476.0,7290148.0
Slovakia,Europe,https://en.wikipedia.org/wiki/Slovakia,526608.0,4836940.0
Slovenia,Europe,https://en.wikipedia.org/wiki/Slovenia,360614.0,2319847.0
Spain,Europe,https://en.wikipedia.org/wiki/Spain,5032056.0,72805128.0
Sweden,Europe,https://en.wikipedia.org/wiki/Sweden,1179192.0,14697481.0
Switzerland,Europe,https://en.wikipedia.org/wiki/Switzerland,897078.0,11155900.0
Ukraine,Europe,https://en.wikipedia.org/wiki/Ukraine,3253327.0,19584775.0
United Kingdom,Europe,https://en.wikipedia.org/wiki/United_Kingdom,9366676.0,106417956.0
Vatican City,Europe,https://en.wikipedia.org/wiki/Vatican_City,27.0,
Australia,Oceania,https://en.wikipedia.org/wiki/Australia,182870.0,36918760.0
Federated States of Micronesia,Oceania,https://en.wikipedia.org/wiki/Federated_States_of_Micronesia,,
Fiji,Oceania,https://en.wikipedia.org/wiki/Fiji,52298.0,1196888.0
Kiribati,Oceania,https://en.wikipedia.org/wiki/Kiribati,,
Marshall Islands,Oceania,https://en.wikipedia.org/wiki/Marshall_Islands,,
Nauru,Oceania,https://en.wikipedia.org/wiki/Nauru,,
New Zealand,Oceania,https://en.wikipedia.org/wiki/New_Zealand,7922.0,7078006.0
Palau,Oceania,https://en.wikipedia.org/wiki/Palau,,
Papua New Guinea,Oceania,https://en.wikipedia.org/wiki/Papua_New_Guinea,31893.0,290513.0
Samoa,Oceania,https://en.wikipedia.org/wiki/Samoa,,
Solomon Islands,Oceania,https://en.wikipedia.org/wiki/Solomon_Islands,,
Tonga,Oceania,https://en.wikipedia.org/wiki/Tonga,,
Tuvalu,Oceania,https://en.wikipedia.org/wiki/Tuvalu,,
Vanuatu,Oceania,https://en.wikipedia.org/wiki/Vanuatu,,
