name,country_name,birthdate,political_party,assumed_office
Abdelmadjid Tebboune,People's Democratic Republic of Algeria,1945-11-17,National Liberation Front,19 December 2019
João Lourenço,Republic of Angola,1954-03-05,People's Movement for the Liberation of Angola,26 September 2017
Patrice Talon,Republic of Benin,1958-05-01,Independent,6 April 2016
Mokgweetsi Masisi,Republic of Botswana,1962-07-21,Botswana Democratic Party,1 April 2018
Roch Marc Christian Kaboré,Burkina Faso,1957-04-25,Organization for Popular Democracy – Labour Movement,29 December 2015
Évariste Ndayishimiye,Republic of Burundi,,CNDD–FDD,18 June 2020
Paul Biya,Republic of Cameroon,1933-02-13,RDPC,6 November 1982
José Maria Neves,Republic of Cabo Verde,1960-03-28,African Party for the Independence of Cape Verde,9 November 2021
Faustin-Archange Touadéra,Central African Republic,1957-04-21,United Hearts Movement,30 March 2016
Mahamat Déby,Republic of Chad,1984-01-01,,20 April 2021
Azali Assoumani,Union of the Comoros,1959-01-01,Convention for the Renewal of the Comoros,26 May 2019
Félix Tshisekedi,Democratic Republic of the Congo,1963-06-13,Union for Democracy and Social Progress,24 January 2019
Denis Sassou Nguesso,Republic of the Congo,1943-11-23,Congolese Party of Labour,25 October 1997
Ismaïl Omar Guelleh,Republic of Djibouti,1947-11-27,People's Rally for Progress,8 May 1999
Abdel Fattah el-Sisi,Arab Republic of Egypt,1954-11-19,Independent,8 June 2014
Teodoro Obiang Nguema Mbasogo,Republic of Equatorial Guinea,1942-06-05,Democratic Party,3 August 1979
Isaias Afwerki,State of Eritrea,1946-02-02,People's Front for Democracy and Justice,24 May 1993
Cleopas Dlamini,Kingdom of Eswatini,,Independent,19 July 2021
Sahle-Work Zewde,Federal Democratic Republic of Ethiopia,1950-02-21,Independent,25 October 2018
Ali Bongo Ondimba,Gabonese Republic,1959-02-09,PDG,16 October 2009
Adama Barrow,Republic of The Gambia,1965-02-15,National People's Party,19 January 2017
Nana Akufo-Addo,Republic of Ghana,1944-03-29,New Patriotic Party,7 January 2017
Mamady Doumbouya,Republic of Guinea,,,1 October 2021
Umaro Sissoco Embaló,Republic of Guinea-Bissau,1972-09-23,Madem G15,27 February 2020
Alassane Ouattara,Republic of Côte d'Ivoire,1942-01-01,Democratic Party,4 December 2010
Uhuru Kenyatta,Republic of Kenya,1961-10-26,Kenya African National Union,9 April 2013
Letsie III of Lesotho,Kingdom of Lesotho,1963-07-17,,7 February 1996
George Weah,Republic of Liberia,1966-10-01,Congress for Democratic Change,22 January 2018
Mohamed al-Menfi,State of Libya,1976-03-03,,15 March 2021
Andry Rajoelina,Republic of Madagascar,1974-05-30,Young Malagasies Determined,19 January 2019
Lazarus McCarthy Chakwera,Republic of Malawi,1955-04-05,Malawi Congress Party,28 June 2020
Assimi Goïta,Republic of Mali,,,24 May 2021
Mohamed Ould Ghazouani,Islamic Republic of Mauritania,1956-12-04,Union for the Republic,1 August 2019
Prithvirajsing Roopun,Republic of Mauritius,1959-05-24,Militant Socialist Movement,2 December 2019
Mohammed VI of Morocco,Kingdom of Morocco,1963-08-21,,23 July 1999
Filipe Nyusi,Republic of Mozambique,1959-02-12,FRELIMO,15 January 2015
Hage Geingob,Republic of Namibia,1941-08-03,SWAPO,21 March 2015
Mohamed Bazoum,Republic of the Niger,1960-01-01,Nigerien Party for Democracy and Socialism,2 April 2021
Muhammadu Buhari,Federal Republic of Nigeria,1942-12-17,All Progressives Congress,30 May 2015
Paul Kagame,Republic of Rwanda,1957-10-23,Rwandan Patriotic Front,22 April 2000
Carlos Vila Nova,Democratic Republic ofSão Tomé and Príncipe,,ADI,2 October 2021
Macky Sall,Republic of Senegal,1961-12-11,Senegalese Democratic Party,2 April 2012
Wavel Ramkalawan,Republic of Seychelles,1959-03-15,Linyon Demokratik Seselwa,26 October 2020
Julius Maada Bio,Republic of Sierra Leone,1964-05-12,Sierra Leone People's Party,4 April 2018
Mohamed Abdullahi Mohamed,Federal Republic of Somalia,1962-03-11,citation needed,16 February 2017
Cyril Ramaphosa,Republic of South Africa,1952-11-17,African National Congress,15 February 2018
Salva Kiir Mayardit,Republic of South Sudan,1951-09-13,Sudan People's Liberation Movement,9 July 2011
Abdel Fattah al-Burhan,Republic of the Sudan,,,25 October 2021
Samia Suluhu,United Republic of Tanzania,1960-01-27,Chama Cha Mapinduzi,19 March 2021
Faure Gnassingbé,Togolese Republic,1966-06-06,UNIR,4 May 2005
Kais Saied,Republic of Tunisia,1958-02-22,Independent,23 October 2019
Yoweri Museveni,Republic of Uganda,1944-09-15,National Resistance Movement,29 January 1986
Hakainde Hichilema,Republic of Zambia,1962-06-04,United Party for National Development,24 August 2021
Emmerson Mnangagwa,Republic of Zimbabwe,1942-09-15,United National Independence Party,24 November 2017
Elizabeth II,Antigua and Barbuda,1926-04-21,,6 February 1952
Elizabeth II,Commonwealth of The Bahamas,1926-04-21,,6 February 1952
Sandra Mason,Barbados,1949-01-17,Independent,8 January 2018
Elizabeth II,Belize,1926-04-21,,6 February 1952
Elizabeth II,Canada,1926-04-21,,6 February 1952
Carlos Alvarado Quesada,Republic of Costa Rica,1980-01-14,Citizens' Action Party,8 May 2018
Miguel Díaz-Canel,Republic of Cuba,1960-04-20,Communist,19 April 2021
Charles Savarin,Commonwealth of Dominica,1943-10-02,Labour Party,2 October 2013
Luis Abinader,Dominican Republic,1967-07-12,Modern Revolutionary Party,16 August 2020
Nayib Bukele,Republic of El Salvador,1981-07-24,Nuevas Ideas,1 June 2019
Elizabeth II,Grenada,1926-04-21,,6 February 1952
Alejandro Giammattei,Republic of Guatemala,1956-03-09,Vamos,14 January 2020
Ariel Henry,Republic of Haiti,1949-11-06,Inite,20 July 2021
Juan Orlando Hernández,Republic of Honduras,1968-10-28,National Party,27 January 2014
Tom Tavares-Finson,Jamaica,1953-07-07,Jamaica Labour Party,10 March 2016
Andrés Manuel López Obrador,United Mexican States,1953-11-13,National Regeneration Movement,1 December 2018
Daniel Ortega,Republic of Nicaragua,1945-11-11,FSLN,10 January 2007
Laurentino Cortizo,Republic of Panama,1953-01-30,Democratic Revolutionary Party,1 July 2019
Elizabeth II,Federation of Saint Christopher and Nevis,1926-04-21,,6 February 1952
Elizabeth II,Saint Lucia,1926-04-21,,6 February 1952
Elizabeth II,Saint Vincent and the Grenadines,1926-04-21,,6 February 1952
Paula-Mae Weekes,Republic of Trinidad and Tobago,1958-12-23,Independent,19 March 2018
Joe Biden,United States of America,1942-11-20,Democratic,January 20 2021
Hasan Akhund,Islamic Emirate of Afghanistan,,Taliban,7 September 2021
Armen Sarkissian,Republic of Armenia,1952-06-23,Independent,9 April 2018
Ilham Aliyev,Republic of Azerbaijan,1961-12-24,New Azerbaijan Party,31 October 2003
Hamad bin Isa Al Khalifa,Kingdom of Bahrain,1950-01-28,,14 February 2002
Abdul Hamid (politician),People's Republic of Bangladesh,1944-01-01,Awami League,14 March 2013
Lotay Tshering,Kingdom of Bhutan,1969-05-10,Druk Nyamrup Tshogpa,7 November 2018
Hassanal Bolkiah,"Nation of Brunei, the Abode of Peace",1946-07-15,,5 October 1967
Say Chhum,Kingdom of Cambodia,1945-02-05,Cambodian People's Party,9 June 2015
Xi Jinping,People's Republic of China,1953-06-15,Chinese Communist Party,15 November 2012
Nicos Anastasiades,Republic of Cyprus,1946-09-27,Centre Union,28 February 2013
Salome Zurabishvili,Georgia,1952-03-18,Way of Georgia,16 December 2018
Ram Nath Kovind,Republic of India,1945-10-01,Bharatiya Janata Party,25 July 2017
Joko Widodo,Republic of Indonesia,1961-06-21,PDI-P,20 October 2014
Ebrahim Raisi,Islamic Republic of Iran,1960-12-14,Combatant Clergy Association,3 August 2021
Barham Salih,Republic of Iraq,1960-09-12,Patriotic Union of Kurdistan,2 October 2018
Isaac Herzog,State of Israel,1960-09-22,Labor Party,7 July 2021
Fumio Kishida,Japan,1957-07-29,Liberal Democratic,4 October  2021
Abdullah II of Jordan,Hashemite Kingdom of Jordan,1962-01-30,,7 February 1999
Kassym-Jomart Tokayev,Republic of Kazakhstan,1953-05-17,Nur Otan,20 March 2019
Choe Ryong-hae,Democratic People'sRepublic of Korea,1950-01-15,Workers' Party of Korea,11 April 2019
Moon Jae-in,Republic of Korea,1953-01-24,Democratic,May 10 2017
Sabah Al-Khalid Al-Sabah,State of Kuwait,1953-03-03,Independent,19 November 2019
Sadyr Japarov,Kyrgyz Republic,1968-12-06,Mekenchil,28 January 2021
Thongloun Sisoulith,Lao People's Democratic Republic,1945-11-10,Lao People's Revolutionary Party,15 January 2021
Michel Aoun,Lebanese Republic,1933-09-30,Free Patriotic Movement,31 October 2016
Abdullah of Pahang,Malaysia,1959-07-30,,31 January 2019
Ibrahim Mohamed Solih,Republic of Maldives,1962-03-01,Maldivian Democratic Party,17 November 2018
Ukhnaagiin Khürelsükh,Mongolia,1968-06-14,Mongolian People's Party,25 June 2021
Myint Swe,Republic of the Union of Myanmar,1951-05-24,Union Solidarity and Development Party,1 February 2021
Bidya Devi Bhandari,Federal Democratic Republic of Nepal,1961-06-19,Independent,29 October 2015
Haitham bin Tariq,Sultanate of Oman,1955-10-11,,11 January 2020
Arif Alvi,Islamic Republic of Pakistan,1949-08-29,Pakistan Tehreek-e-Insaf,9 September 2018
Rodrigo Duterte,Republic of the Philippines,1945-03-28,PDP–Laban,June 30 2016
Khalid bin Khalifa bin Abdul Aziz Al Thani,State of Qatar,,,28 January 2020
Vladimir Putin,Russian Federation,1952-10-07,Independent,7 May 2012
Salman bin Abdulaziz,Kingdom of Saudi Arabia,1935-12-31,,23 January 2015
Halimah Yacob,Republic of Singapore,1954-08-23,Independent,14 September 2017
Gotabaya Rajapaksa,Democratic Socialist Republic of Sri Lanka,1949-06-20,,18 November 2019
Bashar al-Assad,Syrian Arab Republic,1965-09-11,Syrian Ba'ath Party,17 July 2000
Emomali Rahmon,Republic of Tajikistan,1952-10-05,People's Democratic Party,16 November 1994
Vajiralongkorn,Kingdom of Thailand,1952-07-28,,13 October 2016
Francisco Guterres,Democratic Republic ofTimor-Leste,1954-09-07,Fretilin,20 May 2017
Recep Tayyip Erdoğan,Republic of Turkey,1954-02-26,Justice and Development Party,28 August 2014
Gurbanguly Berdimuhamedow,Turkmenistan,1957-06-29,Independent,14 February 2007
Khalifa bin Zayed Al Nahyan,United Arab Emirates,1948-09-07,,3 November 2004
Shavkat Mirziyoyev,Republic of Uzbekistan,1957-07-24,Liberal Democratic Party,14 December 2016
Nguyễn Xuân Phúc,Socialist Republic of Vietnam,1954-07-20,Communist Party of Vietnam,5 April 2021
Abdrabbuh Mansur Hadi,Republic of Yemen,1945-09-01,General People's Congress,27 February 2012
Alberto Fernández,Argentine Republic,1959-04-02,Justicialist Party,10 December 2019
Luis Arce,Plurinational State of Bolivia,1963-09-28,Movement for Socialism,8 November 2020
Jair Bolsonaro,Federative Republic of Brazil,1955-03-21,Independent,1 January 2019
Sebastián Piñera,Republic of Chile,1949-12-01,National Renewal,11 March 2018
Iván Duque Márquez,Republic of Colombia,1976-08-01,Democratic Center,7 August 2018
Guillermo Lasso,Republic of Ecuador,1955-11-16,Creating Opportunities,24 May 2021
Irfaan Ali,Co-operative Republic of Guyana,1980-04-25,People's Progressive Party/Civic,2 August 2020
Mario Abdo Benítez,Republic of Paraguay,1971-11-10,Colorado Party,15 August 2018
Pedro Castillo,Republic of Peru,1969-10-19,Free Peru,28 July 2021
Chan Santokhi,Republic of Suriname,1959-02-03,Progressive Reform Party,16 July 2020
Luis Lacalle Pou,Oriental Republic of Uruguay,1973-08-11,National Party,1 March 2020
Nicolás Maduro,Bolivarian Republic of Venezuela,1962-11-23,United Socialist Party of Venezuela,5 March 2013
Ilir Meta,Republic of Albania,1969-03-24,Independent,24 July 2017
Xavier Espot Zamora,Principality of Andorra,1979-10-30,Democrats for Andorra,16 May 2019
Alexander Van der Bellen,Republic of Austria,1944-01-18,Independent,26 January 2017
Alexander Lukashenko,Republic of Belarus,1954-08-31,Independent,20 July 1994
Philippe of Belgium,Kingdom of Belgium,1960-04-15,,21 July 2013
Željko Komšić,Bosnia and Herzegovina,1964-01-20,Democratic Front,20 July 2021
Rumen Radev,Republic of Bulgaria,1963-06-18,Independent,22 January 2017
Zoran Milanović,Republic of Croatia,1966-10-30,Independent,19 February 2020
Miloš Zeman,Czech Republic,1944-09-28,Communist Party,8 March 2013
Margrethe II of Denmark,Denmark,1940-04-16,,14 January 1972
Alar Karis,Republic of Estonia,1958-03-26,Independent,11 October 2021
Sauli Niinistö,Republic of Finland,1948-08-24,Independent,1 March 2012
Emmanuel Macron,French Republic,1977-12-21,La République En Marche!,14 May 2017
Frank-Walter Steinmeier,Federal Republic of Germany,1956-01-05,Social Democratic Party,19 March 2017
Katerina Sakellaropoulou,Hellenic Republic,1956-05-30,Independent,13 March 2020
János Áder,Hungary,1959-05-09,Fidesz,10 May 2012
Guðni Th. Jóhannesson,Iceland,1968-06-26,Independent,1 August 2016
Michael D. Higgins,Ireland,1941-04-18,Independent,11 November 2011
Sergio Mattarella,Italian Republic,1941-07-23,Independent,3 February 2015
Egils Levits,Republic of Latvia,1955-06-30,Latvian Way,8 July 2019
Hans-Adam II,Principality of Liechtenstein,1945-02-14,,13 November 1989
Gitanas Nausėda,Republic of Lithuania,1964-05-19,Independent,12 July 2019
"Henri, Grand Duke of Luxembourg",Grand Duchy of Luxembourg,1955-04-16,,7 October 2000
George Vella,Republic of Malta,1942-04-24,Labour,4 April 2019
Maia Sandu,Republic of Moldova,1972-05-24,Independent,24 December 2020
"Albert II, Prince of Monaco",Principality of Monaco,1958-03-14,,6 April 2005
Milo Đukanović,Montenegro,1962-02-15,SKJ,20 May 2018
Willem-Alexander of the Netherlands,Netherlands,1967-04-27,,30 April 2013
Stevo Pendarovski,Republic of North Macedonia,1963-04-03,,12 May 2019
Harald V of Norway,Kingdom of Norway,1937-02-21,,17 January 1991
Andrzej Duda,Republic of Poland,1972-05-16,Independent,6 August 2015
Marcelo Rebelo de Sousa,Portuguese Republic,1948-12-12,Independent,9 March 2016
Klaus Iohannis,Romania,1959-06-13,Independent politician,21 December 2014
Francesco Mussoni,Republic of San Marino,1971-05-15,Sammarinese Christian Democratic Party,1 October 2021
Aleksandar Vučić,Republic of Serbia,1970-03-05,SRS,31 May 2017
Zuzana Čaputová,Slovak Republic,1973-06-21,Progressive Slovakia,15 June 2019
Borut Pahor,Republic of Slovenia,1963-11-02,SKJ,22 December 2012
Felipe VI,Kingdom of Spain,1968-01-30,,19 June 2014
Carl XVI Gustaf of Sweden,Kingdom of Sweden,1946-04-30,,15 September 1973
Guy Parmelin,Swiss Confederation,1959-11-09,Swiss People's Party,1 January 2021
Volodymyr Zelensky,Ukraine,1978-01-25,Independent,20 May 2019
Elizabeth II,United Kingdom of Great Britain and Northern Ireland,1926-04-21,,6 February 1952
Elizabeth II,Commonwealth of Australia,1926-04-21,,6 February 1952
David W. Panuelo,Federated States of Micronesia,1964-04-13,,May 11 2019
Jioji Konrote,Republic of Fiji,1947-12-26,FijiFirst,12 November 2015
Taneti Maamau,Republic of Kiribati,1960-09-16,Tobwaan Kiribati Party,11 March 2016
David Kabua,Republic of the Marshall Islands,,Independent,13 January 2020
Lionel Aingimea,Republic of Nauru,,Independent,27 August 2019
Elizabeth II,New Zealand,1926-04-21,,6 February 1952
Surangel Whipps Jr.,Republic of Palau,1968-08-09,Independent,21 January 2021
Elizabeth II,Independent State of Papua New Guinea,1926-04-21,,6 February 1952
Naomi Mataʻafa,Independent State of Samoa,1957-04-29,Faʻatuatua i le Atua Samoa ua Tasi,24 May 2021
Elizabeth II,Solomon Islands,1926-04-21,,6 February 1952
Tupou VI,Kingdom of Tonga,1959-07-12,,18 March 2012
Elizabeth II,Tuvalu,1926-04-21,,6 February 1952
Tallis Obed Moses,Republic of Vanuatu,1954-10-24,Independent,6 July 2017
